record_id,status,n_points,y_start,y_end,x_start,x_end,arc_length,mean_curvature
FF2O3V-001,traced,8,121,307,534,620.5,219.6,0.00447
FF2O3V-002,traced,9,87.5,307,556.5,735.5,308.9,0.00471
FF2O3V-003,traced,6,191.5,311,563,801,273.5,0.00272
FF2O3V-004,traced,9,82,313,540.5,706,316.6,0.00555
FF2O3V-005,traced,7,153,314,540.5,687,222.3,0.00384
FF2O3V-006,traced,9,122.5,310,556,838,349.5,0.00299
FF2O3V-007,traced,10,95.5,308,551.5,738,313.6,0.00477
FF2O3V-008,traced,9,88.5,306.5,544,701.5,297.9,0.00516
FF2O3V-009,traced,8,109,311.5,544,785,333,0.00457
FF2O3V-010,traced,7,158,308.5,559,826,310.6,0.00218
FF2O3V-011,traced,8,91,314.5,537.5,739.5,320.4,0.00344
FF2O3V-013,traced,8,94.5,310,555.5,736,315.4,0.0051
FF2O3V-014,traced,9,90,309,554,730,310.7,0.00623
FF2O3V-015,traced,9,94,307.5,551,724.5,303.2,0.00557
FF2O3V-016,traced,9,92,309,559,741.5,312,0.00468
FF2O3V-017,traced,10,90,307,550,744,310.9,0.00513
FF2O3V-018,traced,9,109.5,309.5,553.5,754.5,303.8,0.00491
FF2O3V-019,traced,9,56,312.5,542,661.5,295,0.00378
FF2O3V-020,traced,9,82.5,307,551.5,709.5,304.7,0.00485
FF2O3V-021,traced,8,85,308.5,554.5,723,309.8,0.00531
FF2O3V-022,traced,9,88,308.5,553,715,299.1,0.0063
FF2O3V-023,traced,10,117.5,311,559,775.5,333.8,0.00525
FF2O3V-024,traced,9,114,311.5,558,782,310.2,0.00317
FF2O3V-025,traced,8,73.5,313,539.5,599,300.8,0.00583
FF2O3V-026,traced,9,134,310,556.5,824,325.4,0.0025
FF2O3V-027,traced,7,151.5,307,550.5,682.5,213,0.00553
FF2O3V-028,traced,5,216,315,540,659,155.4,0.00227
FF2O3V-029,traced,8,165,311.5,557,753.5,250.6,0.00516
FF2O3V-030,traced,8,157,310,540,684,214.3,0.00503
FF2O3V-031,traced,10,106,311,553.5,783.5,325.2,0.0047
FF2O3V-032,traced,7,203.5,315,569,709.5,217.1,0.01118
FF2O3V-033,traced,9,90.5,306,551.5,719.5,291.3,0.0033
FF2O3V-034,traced,9,82,312.5,540,578,272.8,0.00517
FF2O3V-035,traced,4,223.5,307.5,558,729.5,191.5,0.00146
FF2O3V-036,traced,10,85,308,552.5,743.5,307.5,0.00403
FF2O3V-037,traced,9,88,309.5,552,708.5,306.8,0.00549
FF2O3V-038,traced,11,115.5,311,557,775.5,333.4,0.00618
FF2O3V-039,traced,10,72,309.5,547.5,705.5,302.7,0.00472
FF2O3V-040,traced,9,157.5,314,539.5,683.5,218.6,0.00792
FF2O3V-041,traced,11,82,312.5,543.5,691,308.2,0.006
FF2O3V-042,traced,11,66.5,305.5,532,463.5,292,0.00516
FF2O3V-043,traced,8,156.5,309,548,683.5,208.6,0.0059
FF2O3V-044,traced,8,114.5,310.5,554.5,771.5,331.8,0.00555
FF2O3V-045,traced,9,100,308,551.5,753.5,302.1,0.00434
FF2O3V-046,traced,7,137.5,304.5,553,639.5,200.5,0.01162
FF2O3V-047,traced,7,82.5,305,554,722.5,301.5,0.00423
FF2O3V-048,traced,10,87.5,309,555,722.5,305.8,0.00518
FF2O3V-049,traced,8,103,306.5,557.5,789.5,311.2,0.00151
FF2O3V-050,traced,8,82,305.5,557,694.5,301.3,0.00563
FF2O3V-051,traced,8,83,308.5,548,713,308.8,0.00482
FF2O3V-052,traced,9,115,310,559,774,328.6,0.00664
FF2O3V-054,traced,10,67,313,538,586.5,304.2,0.00555
FF2O3V-055,traced,8,92.5,309.5,544.5,719,307.9,0.00503
FF2O3V-056,traced,8,89,308.5,545.5,730,315.6,0.00483
FF2O3V-057,traced,5,195.5,307.5,547,669,166.6,0.00261
